0,FED,FEDERATION,United Federation of Planets,SOL,Peaceful,Compassion,Ethical,Idealistic,federation,FEDERATION,TRUE,TRUE,FEDERATION,"The United Federation of Planets is a coalition of worlds bound by a mutual desire for peace, the pursuit of scientific understanding, and trade. By far however, the most numerous of the Federation races is one of the founding members, the Humans of Sol. The people of the Federation live in a society based on the values of liberty and equality. Their strength lies in extremely effective research, which grants them fast access to new technologies. Their high-quality products come at the expense of high resource costs, however. Because of their moral convictions, they quickly show weaknesses in the field of espionage and sabotage by Starfleet intelligence. However when under attack, some citizens of the Federation were known to effectively change their attitude to ""the ends justify the means"". With a fleet of well-rounded starships, the Federation is equally likely to be seen conducting trade, exploration, humanitarian, and diplomatic missions, as they are to be seen conducting military patrols and combat maneuvers. Starfleet is capable of ending battles, but do not want to start them. OUR CONTINUING MISSION: TO EXPLORE STRANGE NEW WORLDS, TO SEEK OUT NEW LIFE AND NEW CIVILIZATIONS, TO BOLDLY GO WHERE NO ONE HAS GONE BEFORE!"
1,ROM,ROMULAN,Romulan Star Empire,ROMULUS,Aggressive,Xenophobia,Ruthless,Materialistic,romulans,ROMULANS,TRUE,TRUE,,ROMULANS,"To outsiders, the Romulans are an enigmatic race. To the Romulans, however, other races have hardly any mystery left, for their talented intelligence agency, the Tal Shiar, has solved each of those mysteries. Romulan interests are protected by a veil of secrecy and covertness, just as their ships are hidden from prying eyes by powerful cloaking technologies. Their ships move undetected in groups until they are close to their unsuspecting victim, before decloaking and destroying their target in the ambush. Reports on Romulan society show it functions on exceptional research achievements. The basic supply of energy and food for the populace is sufficient to meet day-to-day needs, and is rigorously regulated to be resource-saving, as are their fleet maintenance costs; Romulan fleets expect to decimate the enemy before they have any chance at mounting a defense. In the 24th century, the Romulans became famous for their powerful and cost/performance efficient D'deridex class warbirds, which can however be build only slowly, so you shouldn't start a long, or even a multi-border war. Better use the deceptiveness of the Tal Shiar. WHEN KNOWLEDGE IS POWER, BEING UNKNOWN MEANS TO BE UNCONQUERABLE." 
80,KRIOSIANS,KRIOSIANS,KRIOSIANS,KRIOSIA,Aggressive,Intolerant,Callous,Materialistic,kriosians,KRIOSIANS,TRUE,FALSE,,KRIOSIANS,"The Kriosians live under a politically unstable regime, where revolt follows conciliation, and conciliation follows revolt. There are many social issues yet to address if the Kriosians are to become productive members of the galactic community.",
81,KTARIANS,KTARIANS,KTARIANS,KTARIA,Aggressive,Intolerant,Ruthless,Greedy,ktarians,KTARIANS,FALSE,FALSE,,KTARIANS,"The Ktarians are a very intelligent and resourceful people, but they have a reputation for cunning, and duplicity. It remains to be seen whether they are indeed trustworthy",
82,LEDOSIANS,LEDOSIANS,LEDOSIANS,LEDOSIA,Neutral,Xenophobia,Callous,Materialistic,ledosians,LEDOSIANS,TRUE,FALSE,,LEDOSIANS,"The Ledosians are a relatively Peaceful people, and they pride themselves on their laws and regulations.",
83,LISSEPIANS,LISSEPIANS,LISSEPIANS,LISSEPIA,Neutral,Intolerant,Ruthless,Greedy,lissepians,LISSEPIANS,TRUE,FALSE,,LISSEPIANS,"The Lissepians are a race of interstellar merchants, but they are neither scrupulous, nor very particular with whom they treat with...",
84,LOKIRRIM,LOKIRRIM,LOKIRRIM,LOKIRRIM,Neutral,Xenophobia,Regulated,Transactional,lokirrim,LOKIRRIM,TRUE,FALSE,,LOKIRRIM,"The Lokirrim are an advanced race with advanced scientific theories, which would be of great benefit to our researchers.",
85,LURIANS,LURIANS,LURIANS,LURIA,Pacifist,Sympathetic,Ethical,Egalitarian,lurians,LURIANS,TRUE,FALSE,,LURIANS,"The Lurians are merchants in their most prolific capacity, but negotiations may be lengthy, for they are not skilled diplomats, and they are slow to enter into open discourse with newly contacted races.",
86,MALCORIANS,MALCORIANS,MALCORIANS,MALCORIA,Peaceful,Xenophobia,Regulated,Egalitarian,malcorians,MALCORIANS,TRUE,FALSE,,MALCORIANS,"Malcorian society suffers from xenophobic tendencies, and has entered the warp age before it could fully comprehend the existence of aliens. We will have to be careful when contacting them.",
87,MALON,MALON,MALON,MALON,Aggressive,Intolerant,Ruthless,Greedy,malon,MALON,TRUE,FALSE,,MALON,"The Malon are advanced industrialists. However, their heavy industries result in hazardous toxic pollutants, to which they have discovered no completely safe and economic method of disposal.",
88,MAQUIS,MAQUIS,MAQUIS,MAQUIS,Aggressive,Xenophobia,Ruthless,Materialistic,maquis,MAQUIS,TRUE,FALSE,x,,,
89,MARKALIANS,MARKALIANS,MARKALIANS,MARKALIA,Aggressive,Intolerant,Ruthless,Greedy,markalians,MARKALIANS,TRUE,FALSE,,MARKALIANS,"The Markalians will be a difficult race to trust, for many of their markets and business ventures involve illicit activity. But they have contacts throughout the galaxy, and those contacts could bring us lucrative trade contracts indeed.",
90,MERIDIANS,MERIDIANS,MERIDIANS,MERIDIA,Neutral,Sympathetic,Ethical,Egalitarian,meridians,MERIDIANS,FALSE,FALSE,,MERIDIANS,"The Meridian planet is extremely rare and unusual, for it is susceptible to phasing in and out of the space-time continuum. This will naturally hinder diplomatic efforts, but research into the phenomenon would bring great benefits.",
91,MINTAKANS,MINTAKANS,MINTAKANS,MINTAKA,Peaceful,Sympathetic,Ethical,Egalitarian,mintakans,MINTAKANS,FALSE,FALSE,,MINTAKANS,"Mintakans are a passive bronze age proto-vulcanoid civilization. Although still far from even the industrial age, the highly logical and analytical Mintakans would comfortably accept a rudimentary understanding of interstellar reality and off-world life forms.",
92,MIRADORN,MIRADORN,MIRADORN,MIRADORN,Aggressive,Intolerant,Ruthless,Greedy,miradorn,MIRADORN,FALSE,FALSE,,MIRADORN,"The Miradorn are a symbiogenetic species, coupled as twins, and each set of twins operates as one unit. They are a passionate yet argumentative race, which will complicate diplomacy.",
93,MIZARIANS,MIZARIANS,MIZARIANS,MIZARIA,Pacifist,Sympathetic,Ethical,Transactional,mizarians,MIZARIANS,TRUE,FALSE,,MIZARIANS,"The Mizarians are absolute pacifists. Apparently, this is the main reason that they have survived the last few centuries.",
94,MOKRA,MOKRA,MOKRA,MOKRA,Warlike,Xenophobia,Ruthless,Materialistic,mokra,MOKRA,FALSE,FALSE,,MOKRA,"The Mokra are governed by the oppressive Mokra Order. War will be assured with this species, even before first contact diplomacy is under way.",
95,MONEANS,MONEANS,MONEANS,MONEA,Neutral,Intolerant,Ethical,Materialistic,moneans,MONEANS,TRUE,FALSE,,MONEANS,"The Moneans live in an artificially maintained aqua sphere, and the opportunity to discover how it functions will provide researchers with years of useful data.",
96,NAUSICAANS,NAUSICAANS,NAUSICAANS,NAUSICAA,Warlike,Intolerant,Ruthless,Materialistic,nausicaans,NAUSICAANS,TRUE,FALSE,,NAUSICAANS,"The Nausicaans are a proud and strong race, and fearsome in battle. They are always at war, but never have a shortage of new recruits.",
97,NECHANI,NECHANI,NECHANI,NECHANI,Peaceful,Intolerant,Ethical,Transactional,nechani,NECHANI,FALSE,FALSE,,NECHANI,"The Nechani are a superstitious race, and value dogma and ritual as virtues above any other. They are Peaceful and open, and will respond well to diplomacy.",
98,NEZU,NEZU,NEZU,NEZU,Neutral,Indifferent,Ethical,Materialistic,nezu,NEZU,TRUE,FALSE,,NEZU,"The Nezu system contains a hazardous number of asteroids and meteors, which have long afflicted the Nezu people. They have however endured the affliction, and risen to become a trade race of some influence.",
99,NORCADIANS,NORCADIANS,NORCADIANS,NORCADIA,Aggressive,Indifferent,Ruthless,Materialistic,norcadians,NORCADIANS,TRUE,FALSE,,NORCADIANS,"The Norcadians are an advanced race, who possess a number of violent tendencies. But they are open to trade relations.
  >DE: Die Norcadianer sind eine hochentwickelte Rasse, die zu zahlreichen Gewalttätigkeiten neigt. Sie sind jedoch offen für Handelsbeziehungen.",
100,NUMIRI,NUMIRI,NUMIRI,NUMIRI,Warlike,Xenophobia,Ruthless,Materialistic,numiri,NUMIRI,TRUE,FALSE,,NUMIRI,"The Numiri have for a time been at war with the Baneans, with whom they once shared a homeworld. Because of the war they are cynical of all other races, and deeply suspicious.",
101,NUUBARI,NUUBARI,NUUBARI,NUUBARI,Neutral,Indifferent,Regulated,Transactional,nuubari,NUUBARI,TRUE,FALSE,,NUUBARI,"The Nuu'bari homeworld is an industrialist planet, and home to some interesting uses for holograms.",
102,NYRIANS,NYRIANS,NYRIANS,NYRIA,Aggressive,Indifferent,Ruthless,Materialistic,nyrians,NYRIANS,TRUE,FALSE,,NYRIANS,"The Nyrians are experts in stealth, evasion and subterfuge. It would be wise to observe them closely before forging diplomatic ties.",
103,OCAMPA,OCAMPA,OCAMPA,OCAMPA,Neutral,Compassion,Ethical,Egalitarian,ocampa,OCAMPA,FALSE,FALSE,,OCAMPA,"Ocampa is a harsh desert world, and their people are short lived, but they have achieved much in their subterranean dwellings deep beneath the ground.",
104,ORIONS,ORIONS,ORIONS,ORION,Aggressive,Indifferent,Ruthless,Greedy,orions,ORIONS,TRUE,FALSE,,ORIONS,"The Orions were once a culturally rich and Spiritual, people. But they have been in decline for a long time, and their corrupt government relies on gambling, sybaritic and illicit trade to fuel its sagging economy",
105,ORNARANS,ORNARANS,ORNARANS,ORNARA,Pacifist,Sympathetic,Ruthless,Greedy,ornarans,ORNARANS,TRUE,FALSE,,ORNARANS,The Ornarans have the unique ability to create a significant electrical discharge from their hands. This is produced at great strain to the Ornaran but can incapacitate the unwary. The Ornarans have been known to use this ability to commandeer ships and supplies to feed their collapsing economy,
106,PAKLED,PAKLED,PAKLED,PAKLED,Aggressive,Indifferent,Ruthless,Greedy,pakled,PAKLED,TRUE,FALSE,,PAKLED,"The Pakled are a shining example of what happens when a race is prematurely brought into the warp age. However, their skill at obtaining technology is to be admired.",
107,PARADANS,PARADANS,PARADANS,PARADA,Neutral,Sympathetic,Callous,Transactional,paradans,PARADANS,TRUE,FALSE,,PARADANS,The Paradans are experts in all matters of surveillance and security. They will be of great benefit to all our intelligence efforts.,
108,QUARREN,QUARREN,QUARREN,QUARREN,Aggressive,Intolerant,Ruthless,Greedy,quarren,QUARREN,TRUE,FALSE,,QUARREN,"The Quarren have a workforce crisis, and will stop at nothing to recruit foreign labor, and by whatever means necessary. We must observe them carefully.",
109,RAKHARI,RAKHARI,RAKHARI,RAKHARI,Neutral,Intolerant,Callous,Materialistic,rakhari,RAKHARI,TRUE,FALSE,,RAKHARI,"The Rakhari abandoned democracy in favor of an oppressive police state to curb crime and maintain order. Their government is wealthy, but corrupt.",
110,RAKOSANS,RAKOSANS,RAKOSANS,RAKOSA,Peaceful,Sympathetic,Ethical,Egalitarian,rakosans,RAKOSANS,TRUE,FALSE,,RAKOSANS,"Due to a recent spurt in technological development, the Rakosans are no longer vulnerable, or weak. But they do suffer from overpopulation.",
111,RAMATIANS,RAMATIANS,RAMATIANS,RAMATIA,Peaceful,Compassion,Honorable,Egalitarian,ramatians,RAMATIANS,FALSE,FALSE,,RAMATIANS,The Ramatians have developed a complex form of communication due to their hearing disability. It has provided them with a unique perspective into the psyche.,
112,RIGELIANS,RIGELIANS,RIGELIANS,RIGELIA,Peaceful,Sympathetic,Regulated,Materialistic,rigelians,RIGELIANS,TRUE,FALSE,,RIGELIANS,"The Rigelians are peaceful merchants, who were quite early interested in a coalition of planets.",
113,RISIANS,RISIANS,RISIANS,RISA,Peaceful,Compassion,Ethical,Materialistic,risians,RISIANS,FALSE,FALSE,,RISIANS,"The Risians live for recreation, entertainment, and enjoyment. Their whole world is a pleasure park for any vacationer, sight-seer, or mere traveler passing through.",
114,RUTIANS,RUTIANS,RUTIANS,RUTIA,Aggressive,Intolerant,Regulated,Materialistic,rutians,RUTIANS,TRUE,FALSE,,RUTIANS,"The Rutians are reluctant to align themselves exclusively with any other race, and this is indeed advisable at this time, for they are yet to unify their world government.",
115,SELAY,SELAY,SELAY,SELAY,Warlike,Intolerant,Callous,Materialistic,selay,SELAY,TRUE,FALSE,,SELAY,The Selay are not as advanced as they would have us believe. An important first step would be a resolution of their conflict with the Anticans.,
116,SHELIAK,SHELIAK,SHELIAK,SHELIA,Neutral,Xenophobia,Ruthless,Materialistic,sheliak,SHELIAK,TRUE,FALSE,,SHELIAK,The Sheliak interpret their treaties very strictly. We should exercise extreme caution in making any agreements with them.,
117,SIKARIANS,SIKARIANS,SIKARIANS,SIKARIA,Peaceful,Sympathetic,Callous,Egalitarian,sikarians,SIKARIANS,TRUE,FALSE,,SIKARIANS,"The Sikarians are a scientifically advanced race, with some impressive technology and ideas. But their most common and keenly observed interest is literature",
118,SKRREEA,SKRREEA,SKRREEA,SKRREEA,Neutral,Sympathetic,Ethical,Transactional,skrreea,SKRREEA,FALSE,FALSE,,SKRREEA,"The Skrreea were conquered long ago, and have ever since sought a new homeworld that matches their ideals. If we were to find them such a world, they would forever be in our debt.",
119,SONA,SONA,SONA,SONA,Warlike,Intolerant,Ruthless,Greedy,sona,SONA,TRUE,FALSE,,SONA,"The rebellious Son'a were sent into exile from the Ba'ku homeworld. Now they exist as pirates and mercenaries, and are definitely not to be trusted. But they have impressive technology...",
120,SULIBAN,SULIBAN,SULIBAN,SULIBAN,Aggressive,Intolerant,Ruthless,Greedy,suliban,SULIBAN,TRUE,FALSE,,SULIBAN,"The nomadic Suliban are normally a non-threatening race, but they are easily swayed, and quite susceptible to outside influence and coercion. They would make great allies, but cannot be entirely trusted.",
121,TAKARANS,TAKARANS,TAKARANS,TAKARA,Neutral,Sympathetic,Ethical,Egalitarian,takarans,TAKARANS,FALSE,FALSE,,TAKARANS,"The Takarans are incredibly resilient, and highly intelligent. Their people are noted for their proficiency in theoretical physics, as well as their unusual biochemistry.",
122,TAKARIANS,TAKARIANS,TAKARIANS,TAKARIA,Neutral,Sympathetic,Ethical,Transactional,takarians,TAKARIANS,FALSE,FALSE,,TAKARIANS,"The Takarians are a bronze age civilization, who are just beginning to expand their commerce and trade network beyond international borders. They are best left to develop on their own.",
123,TAKTAK,TAKTAK,TAKTAK,TAKTAK,Aggressive,Xenophobia,Ruthless,Transactional,taktak,TAKTAK,TRUE,FALSE,,TAKTAK,"The Tak Tak are an unusual race, most notably so in their unconventional method of communication. They are advanced in biochemical research, as well as weapons.",
124,TALARIANS,TALARIANS,TALARIANS,TALARIA,Warlike,Indifferent,Honorable,Transactional,talarians,TALARIANS,TRUE,FALSE,,TALARIANS,"The Talarians are skilled warriors, highly territorial with strict customs and traditions. They should be respected, though technologically they are no threat for the time being.",
125,TALAXIANS,TALAXIANS,TALAXIANS,TALAX,Peaceful,Sympathetic,Ethical,Egalitarian,talaxians,TALAXIANS,TRUE,FALSE,,TALAXIANS,The Talaxians are personable people who share many of our own ideals. Culturally and diplomatically they would blend in well with us.,
126,TALOSIANS,TALOSIANS,TALOSIANS,TALOSIA,Aggressive,Indifferent,Ruthless,Materialistic,talosians,TALOSIANS,FALSE,FALSE,,TALOSIANS,"The remnants of the Talosian civilization lack industry, government, even sophisticated technology - but they retain their knowledge, and they have highly advanced mental abilities.",
127,TAMARIANS,TAMARIANS,TAMARIANS,TAMARIA,Neutral,Sympathetic,Ethical,Transactional,tamarians,TAMARIANS,TRUE,FALSE,,TAMARIANS,"The Tamarians appear to have ideals similar to our own. If we can overcome the language barrier, we will both profit from this contact.",
128,TANUGANS,TANUGANS,TANUGANS,TANUGA,Neutral,Intolerant,Callous,Materialistic,tanugans,TANUGANS,TRUE,FALSE,,TANUGANS,"The Tanugans have for long suffered from an energy crisis, which they labor continually to resolve. If we assisted them, they might be willing to share their research.",
129,TELLARITES,TELLARITES,TELLARITES,TELLAR,Aggressive,Intolerant,Ethical,Transactional,tellarites,TELLARITES,TRUE,FALSE,,TELLARITES,The Tellarites are a race of accomplished and highly skilled engineers. Their industrial skills would be a most welcome addition to our empire.,
130,TEPLANS,TEPLANS,TEPLANS,TEPLA,Peaceful,Sympathetic,Ethical,Egalitarian,teplans,TEPLANS,TRUE,FALSE,,TEPLANS,"The Teplans have long suffered from the deadly Blight, a plague unleashed by a powerful neighboring empire for defying them. Now their civilization is broken, and dying.",
131,THOLIANS,THOLIANS,THOLIANS,THOLIA,Warlike,Xenophobia,Ruthless,Greedy,tholians,THOLIANS,TRUE,FALSE,,THOLIANS,"The Tholians cannot be trusted, and must be approached with caution. If we can acquire their scientific data, it will aid our metallurgical studies.",
132,TILONIANS,TILONIANS,TILONIANS,TILONIA,Aggressive,Intolerant,Ruthless,Materialistic,tilonians,TILONIANS,TRUE,FALSE,,TILONIANS,"The Tilonians live in a state of political anarchy. If we are to have any dealings with them, we must first comprehend the multiple the factions involved.",
133,TLANI,TLANI,TLANI,TLANI,Warlike,Intolerant,Ruthless,Materialistic,tlani,TLANI,TRUE,FALSE,,TLANI,"The T'Lani would prefer to remain independent, so we must approach them cautiously and with respect, for they are as keen on conflict as they are on diplomacy...",
134,TRABE,TRABE,TRABE,TRABE,Warlike,Intolerant,Callous,Materialistic,trabe,TRABE,TRUE,FALSE,,TRABE,"The Trabe are now a fragmented people in decline. For years they oppressed and dominated the Kazon, but they rose up against them, and a devastating conflict ensued.",
135,TRILL,TRILL,TRILL,TRILL,Peaceful,Compassion,Honorable,Idealistic,trill,TRILL,FALSE,FALSE,,TRILL,The joined Trill live several times as long as even the oldest members of our race. Their wisdom could be a great asset to our empire.,
136,TROGORANS,TROGORANS,TROGORANS,TROGORA,Neutral,Indifferent,Regulated,Transactional,trogorans,TROGORANS,TRUE,FALSE,,TROGORANS,"The T-Rogorans are a volatile and extremely violent people. It may be impossible to appease them or negotiate with them diplomatically. It is not a language they understand.
  > DE: Die T-Rogoraner sind ein unberechenbares und extrem gewalttätiges Volk. Es ist wahrscheinlich unmöglich, sie zu beschwichtigen oder diplomatisch mit ihnen zu verhandeln. Sie verstehen diese Sprache nicht.",
137,TZENKETHI,TZENKETHI,TZENKETHI,TZENKETHI,Warlike,Xenophobia,Ruthless,Transactional,tzenkethi,TZENKETHI,TRUE,FALSE,,TZENKETHI,"The Tzenkethi are an obscure, reptilian people known for raiding colonies and outposts on the edge of frontier space. The ruler of the Tzenkethi is the Autarch, a totalitarian tsar that leads by ruthless example, following a merciless drive towards expansion, conquest, and obliteration of everything that might stand in the way.",
138,ULLIANS,ULLIANS,ULLIANS,ULLIA,Aggressive,Intolerant,Ruthless,Materialistic,ullians,ULLIANS,FALSE,FALSE,,ULLIANS,The Ullians act as historians for many alien cultures. Their knowledge of this galaxy would be of enormous academic interest.,
139,VAADWAUR,VAADWAUR,VAADWAUR,VAADWAUR,Aggressive,Indifferent,Callous,Materialistic,vaadwaur,VAADWAUR,TRUE,FALSE,,VAADWAUR,"The Vaadwaur are an advanced race, and pose a serious threat to peace and stability, for they are a fearless people who thrive on conflict and conquest.",
140,VENTAXIANS,VENTAXIANS,VENTAXIANS,VENTAXIA,Aggressive,Xenophobia,Callous,Transactional,ventaxians,VENTAXIANS,FALSE,FALSE,,VENTAXIANS,The Ventaxians are a moderately advanced race on the verge of warp capability. But much of their culture lies still in their dark heritage of fear and superstition. A great deal of social change would be needed before they could safely enter the galactic community.,
141,VHNORI,VHNORI,VHNORI,VHNORI,Neutral,Sympathetic,Ethical,Transactional,vhnori,VHNORI,FALSE,FALSE,,VHNORI,"The Vhnori have unusual ideas about death, around which they have developed some complex and elaborate rituals.",
142,VIDIIANS,VIDIIANS,VIDIIANS,VIDIIA,Aggressive,Intolerant,Ruthless,Greedy,vidiians,VIDIIANS,TRUE,FALSE,,VIDIIANS,"The Vidiians are an advanced race, but they are in decline as their attention is now focused purely on finding a cure for a devastating disease that is sweeping through their civilization. Millions will die if a cure cannot be found...",
143,VISSIANS,VISSIANS,VISSIANS,VISSIA,Peaceful,Compassion,Ethical,Egalitarian,vissians,VISSIANS,TRUE,FALSE,,VISSIANS,"The Vissians are a generally friendly and amiable people, and highly advanced. However, their social divisions are not ideal, and will require further examination before membership is to be considered.",
144,VORGONS,VORGONS,VORGONS,VORGON,Aggressive,Intolerant,Regulated,Materialistic,vorgons,VORGONS,FALSE,FALSE,x,,,
145,VORI,VORI,VORI,VORI,Aggressive,Xenophobia,Callous,Transactional,vori,VORI,FALSE,FALSE,,VORI,The Vori and the Kradin are involved in a grim war of mutual hatred and distrust. It may well take a great diplomatic effort to solve the crisis.,
146,VULCANS,VULCANS,VULCANS,VULCAN,Peaceful,Sympathetic,Ethical,Egalitarian,vulcans,VULCANS,TRUE,FALSE,,VULCANS,"The Vulcans have suppressed their emotions in favor of pure logic. They are extremely reasonable and cordial in diplomatic relations, which bodes well for ultimately their clarity of thought would be a great asset.",
147,WADI,WADI,WADI,WADI,Neutral,Indifferent,Callous,Transactional,wadi,WADI,TRUE,FALSE,,WADI,"The Wadi are a diplomatically precarious race to deal with. They value entertainment above all else, even if the stakes mean your life.",
148,XANTHANS,XANTHANS,XANTHANS,XANTHAN,Neutral,Indifferent,Regulated,Transactional,xanthans,XANTHANS,TRUE,FALSE,,XANTHANS,"The Xanthan homeworld is a magnet for merchants, traffickers, and various smuggling syndicates. We may welcome their trade, but not all the customers with whom they keep company.",
149,XEPOLITES,XEPOLITES,XEPOLITES,XEPOLITES,Neutral,Sympathetic,Callous,Greedy,xepolites,XEPOLITES,FALSE,FALSE,,XEPOLITES,"The Xepolites are a race of free traders, but they should not be trusted too easily due to the questionable company they keep.",
150,XINDI,XINDI,XINDI,XINDI,Warlike,Sympathetic,Callous,Transactional,xindi,XINDI,TRUE,FALSE,,XINDI,"The Xindi races are diverse and scattered, and each have their own traits, characteristics, and agendas. Unifying them would be a great achievement",
151,XYRILLIANS,XYRILLIANS,XYRILLIANS,XYRILLIA,Peaceful,Sympathetic,Ethical,Egalitarian,xyrillians,XYRILLIANS,TRUE,FALSE,,XYRILLIANS,"The Xyrillians have a rare and unusual physiology. But more importantly, they share many of our ideas. They would be useful allies.",
152,YADERANS,YADERANS,YADERANS,YADERA,Neutral,Intolerant,Regulated,Transactional,yaderans,YADERANS,FALSE,FALSE,,YADERANS,The Yaderans have a culture and society that quite belies their technological prowess. Their research into holo-science would be of benefit to our scientists.,
153,YRIDIANS,YRIDIANS,YRIDIANS,YRIDIA,Neutral,Intolerant,Ruthless,Greedy,yridians,YRIDIANS,TRUE,FALSE,,YRIDIANS,The Yridians survive by selling secret information. We must be extremely cautious and circumspect in dealing with them.,
154,ZAHL,ZAHL,ZAHL,ZAHL,Peaceful,Compassion,Regulated,Transactional,zahl,ZAHL,TRUE,FALSE,,ZAHL,"The Zahl are a generally hospitable people, but their swagger hides various conceits, particularly when political matters are concerned",
155,ZAKDORN,ZAKDORN,ZAKDORN,ZAKDORN,Aggressive,Indifferent,Regulated,Transactional,zakdorn,ZAKDORN,TRUE,FALSE,,ZAKDORN,The Zakdorn talent for strategy cannot be overstated. Their genius could be a great boon to our officer training programs.,
156,ZALKONIANS,ZALKONIANS,ZALKONIANS,ZALKONIA,Aggressive,Xenophobia,Callous,Materialistic,zalkonians,ZALKONIANS,TRUE,FALSE,,ZALKONIANS,"The Zalkonians believe they are on the verge of an evolutionary step. But some in the government fear this, and will stop at nothing to prevent it.",
157,ZIBALIANS,ZIBALIANS,ZIBALIANS,ZIBAL,Peaceful,Intolerant,Ruthless,Greedy,zibalians,ZIBALIANS,TRUE,FALSE,,ZIBALIANS,"The Zibalians are merchants who maintain a number of trade holdings across multiple sectors. But they are buyers rather than sellers, and some are thieves.",
158,ZZUNINHABITED1,ZZUNINHABITED1,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
159,ZZUNINHABITED2,ZZUNINHABITED2,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
160,ZZUNINHABITED3,ZZUNINHABITED3,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
161,ZZUNINHABITED4,ZZUNINHABITED4,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
162,ZZUNINHABITED5,ZZUNINHABITED5,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
163,ZZUNINHABITED6,ZZUNINHABITED6,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
164,ZZUNINHABITED7,ZZUNINHABITED7,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
165,ZZUNINHABITED8,ZZUNINHABITED8,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
166,ZZUNINHABITED9,ZZUNINHABITED9,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
167,ZZUNINHABITED10,ZZUNINHABITED10,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
168,ZZUNINHABITED11,ZZUNINHABITED11,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
169,ZZUNINHABITED12,ZZUNINHABITED12,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
170,ZZUNINHABITED13,ZZUNINHABITED13,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
171,ZZUNINHABITED14,ZZUNINHABITED14,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
172,ZZUNINHABITED15,ZZUNINHABITED15,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
173,ZZUNINHABITED16,ZZUNINHABITED16,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
174,ZZUNINHABITED17,ZZUNINHABITED17,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
175,ZZUNINHABITED18,ZZUNINHABITED18,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
176,ZZUNINHABITED19,ZZUNINHABITED19,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
177,ZZUNINHABITED20,ZZUNINHABITED20,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
178,ZZUNINHABITED21,ZZUNINHABITED21,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
179,ZZUNINHABITED22,ZZUNINHABITED22,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
180,ZZUNINHABITED23,ZZUNINHABITED23,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
181,ZZUNINHABITED24,ZZUNINHABITED24,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
182,ZZUNINHABITED25,ZZUNINHABITED25,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
183,ZZUNINHABITED26,ZZUNINHABITED26,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
184,ZZUNINHABITED27,ZZUNINHABITED27,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
185,ZZUNINHABITED28,ZZUNINHABITED28,NO INTELLIGENT LIFE,NONE,Null,Null,Null,Null,none,_UNKNOWN,FALSE,FALSE,,,,
